Individu,Date_voyage,Code_pays
Roosevelt,1943-01-01T00:00:00.000Z,MLT
Bush,1989-01-01T00:00:00.000Z,MLT
Eisenhower,1960-01-01T00:00:00.000Z,PRT
Nixon,1971-01-01T00:00:00.000Z,PRT
Carter,1980-01-01T00:00:00.000Z,PRT
Reagan,1985-01-01T00:00:00.000Z,PRT
Clinton,2000-01-01T00:00:00.000Z,PRT
Bush,2003-01-01T00:00:00.000Z,PRT
Obama,2010-01-01T00:00:00.000Z,PRT
Clinton,1999-01-01T00:00:00.000Z,SVN
Bush,2001-01-01T00:00:00.000Z,SVN
Eisenhower,1959-01-01T00:00:00.000Z,ESP
Nixon,1970-01-01T00:00:00.000Z,ESP
Ford,1975-01-01T00:00:00.000Z,ESP
Carter,1980-01-01T00:00:00.000Z,ESP
Reagan,1985-01-01T00:00:00.000Z,ESP
Bush,1991-01-01T00:00:00.000Z,ESP
Clinton,1995-01-01T00:00:00.000Z,ESP
Bush,2001-01-01T00:00:00.000Z,ESP
Obama,2016-01-01T00:00:00.000Z,ESP
Biden,2022-01-01T00:00:00.000Z,ESP
Wilson,1919-01-01T00:00:00.000Z,VAT
Eisenhower,1959-01-01T00:00:00.000Z,VAT
Kennedy,1963-01-01T00:00:00.000Z,VAT
Johnson,1967-01-01T00:00:00.000Z,VAT
Nixon,1969-01-01T00:00:00.000Z,VAT
Ford,1975-01-01T00:00:00.000Z,VAT
Carter,1980-01-01T00:00:00.000Z,VAT
Reagan,1982-01-01T00:00:00.000Z,VAT
Bush,1989-01-01T00:00:00.000Z,VAT
Clinton,1994-01-01T00:00:00.000Z,VAT
Bush,2002-01-01T00:00:00.000Z,VAT
Obama,2009-01-01T00:00:00.000Z,VAT
Trump,2017-01-01T00:00:00.000Z,VAT
Biden,2021-01-01T00:00:00.000Z,VAT
Nixon,1970-01-01T00:00:00.000Z,YUG
Ford,1975-01-01T00:00:00.000Z,YUG
Carter,1980-01-01T00:00:00.000Z,YUG
Kennedy,1961-01-01T00:00:00.000Z,AUT
Nixon,1972-01-01T00:00:00.000Z,AUT
Ford,1975-01-01T00:00:00.000Z,AUT
Carter,1979-01-01T00:00:00.000Z,AUT
Bush,2006-01-01T00:00:00.000Z,AUT
Wilson,1919-01-01T00:00:00.000Z,BEL
Truman,1945-01-01T00:00:00.000Z,BEL
Nixon,1969-01-01T00:00:00.000Z,BEL
Ford,1975-01-01T00:00:00.000Z,BEL
Carter,1978-01-01T00:00:00.000Z,BEL
Reagan,1985-01-01T00:00:00.000Z,BEL
Bush,1989-01-01T00:00:00.000Z,BEL
Clinton,1994-01-01T00:00:00.000Z,BEL
Bush,2001-01-01T00:00:00.000Z,BEL
Obama,2014-01-01T00:00:00.000Z,BEL
Trump,2017-01-01T00:00:00.000Z,BEL
Biden,2021-01-01T00:00:00.000Z,BEL
Wilson,1918-01-01T00:00:00.000Z,FRA
Eisenhower,1957-01-01T00:00:00.000Z,FRA
Kennedy,1961-01-01T00:00:00.000Z,FRA
Nixon,1969-01-01T00:00:00.000Z,FRA
Ford,1975-01-01T00:00:00.000Z,FRA
Carter,1978-01-01T00:00:00.000Z,FRA
Reagan,1982-01-01T00:00:00.000Z,FRA
Bush,1989-01-01T00:00:00.000Z,FRA
Clinton,1994-01-01T00:00:00.000Z,FRA
Bush,2002-01-01T00:00:00.000Z,FRA
Obama,2009-01-01T00:00:00.000Z,FRA
Trump,2017-01-01T00:00:00.000Z,FRA
Truman,1945-01-01T00:00:00.000Z,DEU
Eisenhower,1959-01-01T00:00:00.000Z,DEU
Kennedy,1963-01-01T00:00:00.000Z,DEU
Johnson,1967-01-01T00:00:00.000Z,DEU
Nixon,1969-01-01T00:00:00.000Z,DEU
Ford,1975-01-01T00:00:00.000Z,DEU
Carter,1978-01-01T00:00:00.000Z,DEU
Reagan,1982-01-01T00:00:00.000Z,DEU
Bush,1989-01-01T00:00:00.000Z,DEU
Clinton,1994-01-01T00:00:00.000Z,DEU
Bush,2002-01-01T00:00:00.000Z,DEU
Obama,2009-01-01T00:00:00.000Z,DEU
Trump,2017-01-01T00:00:00.000Z,DEU
Biden,2022-01-01T00:00:00.000Z,DEU
Kennedy,1963-01-01T00:00:00.000Z,IRL
Nixon,1970-01-01T00:00:00.000Z,IRL
Reagan,1984-01-01T00:00:00.000Z,IRL
Clinton,1995-01-01T00:00:00.000Z,IRL
Bush,2004-01-01T00:00:00.000Z,IRL
Obama,2011-01-01T00:00:00.000Z,IRL
Trump,2019-01-01T00:00:00.000Z,IRL
Biden,2023-01-01T00:00:00.000Z,IRL
Bush,1989-01-01T00:00:00.000Z,NLD
Clinton,1997-01-01T00:00:00.000Z,NLD
Bush,2005-01-01T00:00:00.000Z,NLD
Obama,2014-01-01T00:00:00.000Z,NLD
Eisenhower,1955-01-01T00:00:00.000Z,CHE
Carter,1977-01-01T00:00:00.000Z,CHE
Reagan,1985-01-01T00:00:00.000Z,CHE
Bush,1990-01-01T00:00:00.000Z,CHE
Clinton,1994-01-01T00:00:00.000Z,CHE
Trump,2018-01-01T00:00:00.000Z,CHE
Biden,2021-01-01T00:00:00.000Z,CHE
Wilson,1918-01-01T00:00:00.000Z,GBR
Truman,1945-01-01T00:00:00.000Z,GBR
Eisenhower,1959-01-01T00:00:00.000Z,GBR
Kennedy,1961-01-01T00:00:00.000Z,GBR
Nixon,1969-01-01T00:00:00.000Z,GBR
Carter,1977-01-01T00:00:00.000Z,GBR
Reagan,1982-01-01T00:00:00.000Z,GBR
Bush,1989-01-01T00:00:00.000Z,GBR
Clinton,1994-01-01T00:00:00.000Z,GBR
Bush,2001-01-01T00:00:00.000Z,GBR
